role,name,email,password,title,category,company,location
client,Obinna Lawal,obinna.lawal1@client.yhconnect.demo,YhConnect2026!,,,,Abeokuta
client,Musa Obi,musa.obi2@client.yhconnect.demo,YhConnect2026!,,,,Asaba
client,Chioma Adebayo,chioma.adebayo3@client.yhconnect.demo,YhConnect2026!,,,,Port Harcourt
client,Emeka Aliyu,emeka.aliyu4@client.yhconnect.demo,YhConnect2026!,,,Ridgeway Living,Abuja
client,Obinna Okeke,obinna.okeke5@client.yhconnect.demo,YhConnect2026!,,,,Ibadan
client,Ebele Afolabi,ebele.afolabi6@client.yhconnect.demo,YhConnect2026!,,,,"Victoria Island, Lagos"
client,Obinna Yusuf,obinna.yusuf7@client.yhconnect.demo,YhConnect2026!,,,Skyline Ventures,Port Harcourt
client,Aisha Ademola,aisha.ademola8@client.yhconnect.demo,YhConnect2026!,,,Metro Properties,Warri
client,Nnamdi Adeyemi,nnamdi.adeyemi9@client.yhconnect.demo,YhConnect2026!,,,Golden Gate Ventures,Kano
client,Oluwaseun Sani,oluwaseun.sani10@client.yhconnect.demo,YhConnect2026!,,,Sunrise Group,Ilorin
client,Oluwaseun Fashola,oluwaseun.fashola11@client.yhconnect.demo,YhConnect2026!,,,Coral Properties,Uyo
client,Oluwaseun Ogunleye,oluwaseun.ogunleye12@client.yhconnect.demo,YhConnect2026!,,,Horizon Ventures,Ilorin
client,Tobenna Obi,tobenna.obi13@client.yhconnect.demo,YhConnect2026!,,,,Uyo
client,Maryam Okonkwo,maryam.okonkwo14@client.yhconnect.demo,YhConnect2026!,,,,"Lekki, Lagos"
client,Suleiman Danjuma,suleiman.danjuma15@client.yhconnect.demo,YhConnect2026!,,,Sterling Real Estate,Ilorin
client,Gbenga Nwankwo,gbenga.nwankwo16@client.yhconnect.demo,YhConnect2026!,,,Northshore Living,Warri
client,Funmilayo Chukwu,funmilayo.chukwu17@client.yhconnect.demo,YhConnect2026!,,,,Kano
client,Tunde Okoro,tunde.okoro18@client.yhconnect.demo,YhConnect2026!,,,,"Victoria Island, Lagos"
client,Oluwaseun Yusuf,oluwaseun.yusuf19@client.yhconnect.demo,YhConnect2026!,,,,Ilorin
client,Rita Abubakar,rita.abubakar20@client.yhconnect.demo,YhConnect2026!,,,,Abeokuta
professional,Zainab Nwosu,zainab.nwosu1@pro.yhconnect.demo,YhConnect2026!,Principal Architect,Architecture,,"Lekki, Lagos"
professional,Musa Okonkwo,musa.okonkwo2@pro.yhconnect.demo,YhConnect2026!,Landscape Architect,Architecture,,Uyo
professional,Godwin Ekwueme,godwin.ekwueme3@pro.yhconnect.demo,YhConnect2026!,Building Architect,Architecture,,Port Harcourt
professional,Victor Idris,victor.idris4@pro.yhconnect.demo,YhConnect2026!,Landscape Architect,Architecture,,Port Harcourt
professional,Abdullahi Fashola,abdullahi.fashola5@pro.yhconnect.demo,YhConnect2026!,Foundation Engineer,Civil & Structural Engineering,,Onitsha
professional,Adewale Okoro,adewale.okoro6@pro.yhconnect.demo,YhConnect2026!,Structural Engineer,Civil & Structural Engineering,,Kano
professional,Halima Chinwe,halima.chinwe7@pro.yhconnect.demo,YhConnect2026!,Civil Engineer,Civil & Structural Engineering,,Port Harcourt
professional,Gbenga Umar,gbenga.umar8@pro.yhconnect.demo,YhConnect2026!,Foundation Engineer,Civil & Structural Engineering,,Abuja
professional,Adewale Ademola,adewale.ademola9@pro.yhconnect.demo,YhConnect2026!,General Contractor,General Contracting & Building,,Asaba
professional,Halima Ademola,halima.ademola10@pro.yhconnect.demo,YhConnect2026!,General Contractor,General Contracting & Building,,Onitsha
professional,Godwin Danjuma,godwin.danjuma11@pro.yhconnect.demo,YhConnect2026!,General Contractor,General Contracting & Building,,"Lekki, Lagos"
professional,Yakubu Aliyu,yakubu.aliyu12@pro.yhconnect.demo,YhConnect2026!,Building Contractor,General Contracting & Building,,Abuja
professional,Emmanuel Yusuf,emmanuel.yusuf13@pro.yhconnect.demo,YhConnect2026!,MEP Engineer,MEP Engineering,,Abeokuta
professional,Kabiru Abubakar,kabiru.abubakar14@pro.yhconnect.demo,YhConnect2026!,Mechanical Engineer,MEP Engineering,,"Lekki, Lagos"
professional,Nnamdi Balogun,nnamdi.balogun15@pro.yhconnect.demo,YhConnect2026!,Building Services Engineer,MEP Engineering,,Jos
professional,Ebele Okafor,ebele.okafor16@pro.yhconnect.demo,YhConnect2026!,Mechanical Engineer,MEP Engineering,,Ilorin
professional,Chinedu Bello,chinedu.bello17@pro.yhconnect.demo,YhConnect2026!,Power Systems Technician,Electrical Contractors,,Ibadan
professional,Obinna Uzoma,obinna.uzoma18@pro.yhconnect.demo,YhConnect2026!,Electrical Engineer,Electrical Contractors,,Kaduna
professional,Emeka Lawal,emeka.lawal19@pro.yhconnect.demo,YhConnect2026!,Electrical Engineer,Electrical Contractors,,Calabar
professional,Ifeoma Balogun,ifeoma.balogun20@pro.yhconnect.demo,YhConnect2026!,Electrical Contractor,Electrical Contractors,,Kaduna
professional,Grace Nwosu,grace.nwosu21@pro.yhconnect.demo,YhConnect2026!,Plumbing Contractor,Plumbing & HVAC,,Port Harcourt
professional,Gbenga Aliyu,gbenga.aliyu22@pro.yhconnect.demo,YhConnect2026!,Pipefitter,Plumbing & HVAC,,Onitsha
professional,Rita Musa,rita.musa23@pro.yhconnect.demo,YhConnect2026!,HVAC Technician,Plumbing & HVAC,,Ibadan
professional,Aminu Afolabi,aminu.afolabi24@pro.yhconnect.demo,YhConnect2026!,Plumbing Contractor,Plumbing & HVAC,,Port Harcourt
professional,Segun Okafor,segun.okafor25@pro.yhconnect.demo,YhConnect2026!,Cost Consultant,Quantity Surveying,,Kaduna
professional,Nkechi Ojukwu,nkechi.ojukwu26@pro.yhconnect.demo,YhConnect2026!,Cost Consultant,Quantity Surveying,,Calabar
professional,Chidi Bello,chidi.bello27@pro.yhconnect.demo,YhConnect2026!,Quantity Surveyor,Quantity Surveying,,"Lekki, Lagos"
professional,Maryam Okoro,maryam.okoro28@pro.yhconnect.demo,YhConnect2026!,Contracts Administrator,Quantity Surveying,,Port Harcourt
professional,Comfort Okeke,comfort.okeke29@pro.yhconnect.demo,YhConnect2026!,Site Project Coordinator,Construction Project Management,,Owerri
professional,Amaka Balogun,amaka.balogun30@pro.yhconnect.demo,YhConnect2026!,Construction Project Manager,Construction Project Management,,Ibadan
professional,Obinna Fashola,obinna.fashola31@pro.yhconnect.demo,YhConnect2026!,Construction Project Manager,Construction Project Management,,Enugu
professional,Folake Lawal,folake.lawal32@pro.yhconnect.demo,YhConnect2026!,Program Manager,Construction Project Management,,Ilorin
professional,Grace Eze,grace.eze33@pro.yhconnect.demo,YhConnect2026!,Furniture & Finishing Consultant,Interior Design & Finishing,,Kaduna
professional,Grace Adeleke,grace.adeleke34@pro.yhconnect.demo,YhConnect2026!,Furniture & Finishing Consultant,Interior Design & Finishing,,"Lekki, Lagos"
professional,Emmanuel Idris,emmanuel.idris35@pro.yhconnect.demo,YhConnect2026!,Furniture & Finishing Consultant,Interior Design & Finishing,,Uyo
professional,Patience Ojukwu,patience.ojukwu36@pro.yhconnect.demo,YhConnect2026!,Interior Designer,Interior Design & Finishing,,Kaduna
professional,Nnamdi Eze,nnamdi.eze37@pro.yhconnect.demo,YhConnect2026!,Land Surveyor,Land Surveying & Geomatics,,Asaba
professional,Tunde Adebayo,tunde.adebayo38@pro.yhconnect.demo,YhConnect2026!,Geomatics Engineer,Land Surveying & Geomatics,,Ilorin
professional,Maryam Adebayo,maryam.adebayo39@pro.yhconnect.demo,YhConnect2026!,GIS Specialist,Land Surveying & Geomatics,,Jos
professional,Emeka Musa,emeka.musa40@pro.yhconnect.demo,YhConnect2026!,Geomatics Engineer,Land Surveying & Geomatics,,Kano
professional,Emmanuel Uzoma,emmanuel.uzoma41@pro.yhconnect.demo,YhConnect2026!,HSE Officer,"Health, Safety & Environment (HSE)",,Owerri
professional,Oluwaseun Umar,oluwaseun.umar42@pro.yhconnect.demo,YhConnect2026!,HSE Officer,"Health, Safety & Environment (HSE)",,"Victoria Island, Lagos"
professional,Victor Idris,victor.idris43@pro.yhconnect.demo,YhConnect2026!,Site Safety Manager,"Health, Safety & Environment (HSE)",,Kaduna
professional,Uche Musa,uche.musa44@pro.yhconnect.demo,YhConnect2026!,HSE Consultant,"Health, Safety & Environment (HSE)",,Ilorin
professional,Patience Balogun,patience.balogun45@pro.yhconnect.demo,YhConnect2026!,Tiler,"Masonry, Carpentry & Skilled Trades",,Abuja
professional,Temitope Yusuf,temitope.yusuf46@pro.yhconnect.demo,YhConnect2026!,Welder & Fabricator,"Masonry, Carpentry & Skilled Trades",,Calabar
professional,Musa Onyeka,musa.onyeka47@pro.yhconnect.demo,YhConnect2026!,Painter,"Masonry, Carpentry & Skilled Trades",,"Ikeja, Lagos"
professional,Chukwuma Aliyu,chukwuma.aliyu48@pro.yhconnect.demo,YhConnect2026!,Master Mason,"Masonry, Carpentry & Skilled Trades",,Owerri
